sd,width,dte,rule,n,mean_rt,win,pf,sortino,maxdd,sharpe
0.1,20,45,beta,121,2.38,100.0,inf,inf,0.0,1.65
0.2,20,45,gamma,121,4.09,74.0,2.13,0.25,-45.3,0.33
0.2,10,45,gamma,121,5.59,74.0,2.0,0.24,-57.5,0.33
0.2,20,7,gamma,778,2.0,77.0,2.3,0.23,-50.5,0.33
0.2,10,7,gamma,778,3.36,77.0,2.18,0.23,-74.4,0.33
0.2,5,7,gamma,778,4.77,77.0,2.03,0.21,-94.3,0.32
0.2,5,45,gamma,121,5.82,73.0,1.77,0.2,-70.3,0.27
0.2,10,21,gamma,259,3.62,73.0,1.72,0.18,-85.1,0.24
0.2,20,21,gamma,259,2.4,73.0,1.79,0.18,-70.5,0.24
0.2,5,21,gamma,259,4.33,73.0,1.6,0.16,-92.9,0.22
0.15,20,7,gamma,778,1.37,83.0,2.11,0.15,-63.8,0.27
0.15,10,7,gamma,778,2.32,83.0,2.03,0.15,-85.8,0.28
0.15,5,7,gamma,778,3.29,83.0,1.9,0.14,-96.8,0.27
0.15,10,21,gamma,259,2.76,80.0,1.72,0.13,-86.4,0.23
0.2,20,45,alpha,121,6.02,92.0,2.72,0.12,-100.0,0.35
0.15,20,21,gamma,259,1.77,80.0,1.75,0.12,-74.6,0.22
0.15,20,45,gamma,121,2.11,78.0,1.61,0.12,-53.9,0.19
0.15,5,21,gamma,259,3.42,80.0,1.62,0.12,-91.8,0.21
0.2,10,21,alpha,259,6.06,88.0,2.36,0.12,-100.0,0.29
0.15,10,45,gamma,121,2.91,78.0,1.55,0.11,-64.5,0.19
0.15,20,45,beta,121,2.88,97.0,4.54,0.11,-53.9,0.49
0.2,5,21,alpha,259,7.16,88.0,2.04,0.1,-100.0,0.26
0.2,20,45,beta,121,3.96,96.0,3.69,0.1,-66.8,0.42
0.15,20,45,alpha,121,4.13,93.0,2.69,0.1,-100.0,0.31
0.2,10,45,alpha,121,7.61,92.0,2.24,0.1,-100.0,0.29
0.2,20,21,alpha,259,3.82,88.0,2.35,0.09,-100.0,0.25
0.1,10,7,gamma,778,1.63,91.0,2.21,0.09,-77.2,0.27
0.1,20,7,gamma,778,0.94,91.0,2.28,0.09,-54.4,0.26
0.15,5,45,gamma,121,3.02,78.0,1.43,0.09,-75.9,0.16
0.1,5,7,gamma,778,2.36,91.0,2.09,0.09,-89.8,0.26
0.2,5,45,alpha,121,8.62,92.0,2.08,0.09,-100.0,0.27
0.15,10,45,alpha,121,5.25,92.0,2.2,0.08,-100.0,0.26
0.15,5,21,alpha,259,6.13,93.0,2.47,0.08,-100.0,0.29
0.2,5,7,alpha,778,5.23,89.0,1.93,0.08,-100.0,0.22
0.2,10,7,alpha,778,3.68,90.0,2.05,0.08,-100.0,0.22
0.15,10,21,alpha,259,4.64,93.0,2.54,0.08,-100.0,0.27
0.2,10,21,beta,259,4.02,95.0,2.61,0.07,-100.0,0.27
0.15,10,45,beta,121,3.58,96.0,2.97,0.07,-92.5,0.3
0.2,5,21,beta,259,4.83,94.0,2.28,0.07,-100.0,0.25
0.2,20,7,alpha,778,2.07,90.0,2.02,0.07,-100.0,0.18
0.1,10,45,alpha,121,3.85,96.0,2.71,0.06,-100.0,0.28
0.1,10,45,beta,121,2.78,98.0,5.05,0.06,-67.3,0.44
0.15,5,7,alpha,778,3.94,93.0,2.03,0.06,-100.0,0.21
0.15,5,45,alpha,121,5.24,92.0,1.8,0.06,-100.0,0.19
0.15,5,21,beta,259,4.18,97.0,3.18,0.06,-100.0,0.3
0.1,5,45,alpha,121,4.23,95.0,2.27,0.06,-100.0,0.23
0.15,10,7,alpha,778,2.61,93.0,2.05,0.05,-100.0,0.19
0.1,20,45,alpha,121,2.6,96.0,2.72,0.05,-100.0,0.24
0.15,20,21,alpha,259,2.62,93.0,2.2,0.05,-100.0,0.19
0.2,10,7,beta,778,2.57,93.0,2.0,0.05,-100.0,0.18
0.2,20,7,beta,778,1.57,93.0,2.17,0.05,-100.0,0.18
0.2,5,7,beta,778,3.28,93.0,1.77,0.05,-100.0,0.16
0.2,20,21,beta,259,2.39,95.0,2.42,0.05,-100.0,0.2
0.15,5,45,beta,121,3.62,96.0,2.23,0.05,-100.0,0.21
0.1,20,45,gamma,121,0.82,83.0,1.3,0.04,-54.6,0.09
0.15,10,21,beta,259,3.07,97.0,2.89,0.04,-100.0,0.24
0.15,20,7,alpha,778,1.4,93.0,1.93,0.04,-100.0,0.15
0.1,10,45,gamma,121,1.13,83.0,1.27,0.04,-72.7,0.09
0.15,10,7,beta,778,1.97,96.0,2.29,0.04,-100.0,0.18
0.1,5,21,alpha,259,3.42,96.0,2.12,0.04,-100.0,0.2
0.2,10,45,beta,121,3.28,94.0,1.74,0.04,-100.0,0.16
0.15,5,7,beta,778,2.44,95.0,1.87,0.04,-100.0,0.15
0.2,5,45,beta,121,3.51,94.0,1.62,0.04,-100.0,0.14
0.1,5,45,beta,121,2.82,98.0,3.21,0.04,-100.0,0.26
0.1,10,21,gamma,259,0.85,85.0,1.26,0.03,-93.8,0.08
0.1,5,21,gamma,259,1.1,85.0,1.24,0.03,-97.7,0.08
0.1,5,7,alpha,778,2.24,95.0,1.89,0.03,-100.0,0.15
0.1,10,21,alpha,259,2.36,96.0,1.99,0.03,-100.0,0.16
0.15,20,7,beta,778,1.1,96.0,2.2,0.03,-100.0,0.15
0.1,5,45,gamma,121,1.08,83.0,1.19,0.03,-87.4,0.07
0.1,20,21,gamma,259,0.5,85.0,1.24,0.03,-81.9,0.07
0.1,10,7,alpha,778,1.46,95.0,1.89,0.03,-100.0,0.13
0.1,20,21,alpha,259,1.34,96.0,1.84,0.03,-100.0,0.12
0.15,20,21,beta,259,1.62,97.0,2.24,0.03,-100.0,0.15
0.1,5,7,beta,778,1.45,97.0,1.89,0.02,-100.0,0.12
0.1,5,21,beta,259,2.15,98.0,2.39,0.02,-100.0,0.17
0.1,20,7,alpha,778,0.74,95.0,1.73,0.02,-100.0,0.1
0.1,10,7,beta,778,1.01,97.0,1.94,0.02,-100.0,0.11
0.1,20,7,beta,778,0.55,97.0,1.84,0.02,-97.9,0.09
0.1,10,21,beta,259,1.35,98.0,1.95,0.01,-100.0,0.11
0.1,20,21,beta,259,0.79,98.0,1.85,0.01,-94.1,0.1
