ticker,entry_date,exit_date,ideal_entry,ideal_exit,slippage_buy_bp,slippage_sell_bp,gross_bp,net_bp,rolling_net_bp
AMIX,2026-08-26,2026-08-27,6.4999,6.0276,54.3,3.0,-726.6,-783.9,-783.9
AMIX,2026-08-27,2026-08-28,5.7500,5.4160,84.5,3.0,-580.9,-668.4,-726.1
PAY,2026-08-27,2026-08-28,35.4750,36.1100,4.2,3.0,179.0,171.8,-426.8
WEN,2026-08-27,2026-08-28,7.8250,7.9700,6.4,3.0,185.3,175.9,-276.1
AMIX,2026-08-28,2026-08-31,5.2500,4.7600,57.9,3.0,-933.3,-994.2,-419.8
HMY,2026-08-28,2026-08-31,20.2050,19.7800,2.5,3.0,-210.3,-215.8,-385.8
PAY,2026-08-28,2026-08-31,36.0350,35.2800,2.8,3.0,-209.5,-215.3,-361.4
WEN,2026-08-28,2026-08-31,8.2650,8.2600,6.0,3.0,-6.0,-15.0,-318.1
HMY,2026-08-31,2026-09-01,19.7000,19.2600,2.5,3.0,-223.4,-228.9,-308.2
PAY,2026-08-31,2026-09-01,35.3000,35.6000,5.7,3.0,85.0,76.3,-269.7
CAI,2026-09-01,2026-09-02,24.6000,25.0200,2.0,3.0,170.7,165.7,-230.2
EGO,2026-09-01,2026-09-02,42.9500,43.9550,1.2,3.0,234.0,229.8,-191.8
EGO,2026-09-02,2026-09-03,42.9900,44.4300,2.3,3.0,335.0,329.7,-151.7
HMY,2026-09-02,2026-09-03,19.4500,20.5700,2.6,3.0,575.8,570.2,-100.1
EGO,2026-09-04,2026-09-07,43.0750,43.0200,2.3,3.0,-12.8,-18.1,-94.7
HMY,2026-09-04,2026-09-07,20.3450,20.2750,2.5,3.0,-34.4,-39.9,-91.3
AMIX,2026-09-07,2026-09-08,4.5650,4.6037,,3.0,84.8,78.8,-81.3
HMY,2026-09-08,2026-09-09,20.2600,20.8150,2.5,3.0,273.9,268.4,-61.8
HTHT,2026-09-08,2026-09-09,44.1500,43.9650,1.1,3.0,-41.9,-46.0,-61.0
